page,x0,y0,x1,y1,text,is_all_caps,is_title_case,is_numbered,has_colon,has_bullet,length,word_count,avg_font_size,is_bold,is_italic,most_common_font,rel_font_size,is_centered,space_before,space_after
1,70.5765151977539,193.73828125,443.13397216796875,239.67605590820312,Peer Review Framework for Predictive Analytics,0,0,0,0,0,46,6,18.0,0,1,Roboto-Italic,0.8709677419354839,0,193.73828125,41.71624755859375
1,70.5765151977539,193.73828125,443.13397216796875,239.67605590820312,in Humanitarian Response,0,0,0,0,0,24,3,18.0,0,1,Roboto-Italic,0.8709677419354839,0,193.73828125,41.71624755859375
1,72.0,281.3923034667969,359.8455810546875,350.99560546875,MODEL REPORT:,1,0,0,1,0,13,2,26.0,1,0,Roboto-Bold,1.2580645161290323,0,41.71624755859375,5.56427001953125
1,72.0,281.3923034667969,359.8455810546875,350.99560546875,Typhoon impact model,0,0,0,0,0,20,3,28.0,1,0,Roboto-Bold,1.3548387096774193,0,41.71624755859375,5.56427001953125
1,72.0,356.55987548828125,407.3509216308594,375.30987548828125,510 - An initiative of the Netherlands Red Cross,0,0,1,0,0,48,9,16.0,1,1,Roboto-BoldItalic,0.7741935483870968,0,5.56427001953125,18.56097412109375
1,72.0,393.870849609375,173.68150329589844,414.964599609375,August 2022,0,1,0,0,0,11,2,18.0,0,0,Roboto-Regular,0.8709677419354839,0,18.56097412109375,377.035400390625
2,72.0,149.35272216796875,178.76910400390625,170.45428466796875,Model Report:,0,1,0,1,0,13,2,16.0,1,0,RobotoSlab-Bold,1.414736842105263,0,149.35272216796875,3.16522216796875
2,72.0,173.6195068359375,247.4139404296875,194.7210693359375,Typhoon impact model,0,0,0,0,0,20,3,16.0,0,0,RobotoSlab-Regular,1.414736842105263,0,3.16522216796875,33.7998046875
2,72.0,228.5208740234375,539.9765014648438,379.411376953125,1. Background,0,1,1,0,0,13,2,12.0,0,0,Roboto-Medium,1.0610526315789472,0,33.7998046875,17.474365234375
2,72.0,228.5208740234375,539.9765014648438,379.411376953125,This document summarises the documentation and the finding of the peer review of the trigger,0,0,0,0,0,92,15,11.0,0,0,Roboto-Regular,0.9726315789473684,1,33.7998046875,17.474365234375
2,72.0,228.5208740234375,539.9765014648438,379.411376953125,used in OCHA’s Philippines Anticipatory Action framework for typhoons. The impact prediction,0,0,0,0,0,92,12,11.0,0,0,Roboto-Regular,0.9726315789473684,1,33.7998046875,17.474365234375
2,72.0,228.5208740234375,539.9765014648438,379.411376953125,model used as the basis for the trigger was developed by the Netherlands Red Cross 510 data,0,0,0,0,0,91,17,11.0,0,0,Roboto-Regular,0.9726315789473684,1,33.7998046875,17.474365234375
2,72.0,228.5208740234375,539.9765014648438,379.411376953125,"and digital team, on behalf of the IFRC network and its partners. The model uses typhoon track",0,0,0,0,0,94,17,11.0,0,0,Roboto-Regular,0.9726315789473684,1,33.7998046875,17.474365234375
2,72.0,228.5208740234375,539.9765014648438,379.411376953125,and rainfall forecasts to predict the percentage of houses that will be severely damaged per,0,0,0,0,0,92,15,11.0,0,0,Roboto-Regular,0.9726315789473684,1,33.7998046875,17.474365234375
2,72.0,228.5208740234375,539.9765014648438,379.411376953125,municipality in the Philippines. OCHA Philippines used this model as a basis to begin a response,0,0,0,0,0,96,16,11.0,0,0,Roboto-Regular,0.9726315789473684,1,33.7998046875,17.474365234375
2,72.0,228.5208740234375,539.9765014648438,379.411376953125,"before a typhoon hit, based on the predicted number of houses damaged in the regions of Bicol",0,0,0,0,0,93,17,11.0,0,0,Roboto-Regular,0.9726315789473684,1,33.7998046875,17.474365234375
2,72.0,228.5208740234375,539.9765014648438,379.411376953125,"and Eastern Visayas. To find out more about this application, please see the Anticipatory Action",0,0,0,0,0,96,15,11.0,0,0,Roboto-Regular,0.9726315789473684,1,33.7998046875,17.474365234375
2,72.0,228.5208740234375,539.9765014648438,379.411376953125,Framework for the Philippines.,0,0,0,0,0,30,4,11.0,0,0,Roboto-Regular,0.9726315789473684,0,33.7998046875,17.474365234375
2,72.0,396.8857421875,430.0940856933594,409.7763671875,This peer review was conducted between September 2021 and July 2022.,0,0,0,0,0,68,11,11.0,0,0,Roboto-Regular,0.9726315789473684,0,17.474365234375,17.496826171875
2,72.0,427.273193359375,539.3157348632812,471.886474609375,2. Main Findings and Recommendations,0,0,1,0,0,36,5,12.0,0,0,Roboto-Medium,1.0610526315789472,0,17.496826171875,2.2918701171875
2,72.0,427.273193359375,539.3157348632812,471.886474609375,"The documentation regarding the model, its application and the review process can be found at",0,0,0,0,0,93,15,11.0,0,0,Roboto-Regular,0.9726315789473684,1,17.496826171875,2.2918701171875
2,72.0,427.273193359375,539.3157348632812,471.886474609375,the following links:,0,0,0,1,0,20,3,11.0,0,0,Roboto-Regular,0.9726315789473684,0,17.496826171875,2.2918701171875
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,●,0,0,0,0,0,1,1,11.0,0,0,ArialMT,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,The Model Card describes version 1.0 of the model and was completed in September,0,0,0,0,0,80,14,11.0,0,0,Roboto-Regular,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,2021.,0,0,0,0,0,5,1,11.0,0,0,Roboto-Regular,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,●,0,0,0,0,0,1,1,11.0,0,0,ArialMT,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,The Model Evaluation Matrix was completed in October 2021 by a technical expert from,0,0,0,0,0,84,14,11.0,0,0,Roboto-Regular,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,"Leiden University, and in February 2022 by the client.",0,0,0,0,0,54,9,11.0,0,0,Roboto-Regular,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,●,0,0,0,0,0,1,1,11.0,0,0,ArialMT,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,The Implementation Plan was completed in October 2021. It summarises the concrete,0,0,0,0,0,81,12,11.0,0,0,Roboto-Regular,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,actions that the model will trigger or inform as part of the 2021-2022 OCHA anticipatory,0,0,0,0,0,88,15,11.0,0,0,Roboto-Regular,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,action framework in the Philippines,0,0,0,0,0,35,5,11.0,0,0,Roboto-Regular,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,●,0,0,0,0,0,1,1,11.0,0,0,ArialMT,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,The Ethical Matrix aims to identify all stakeholders and potential issues regarding the,0,0,0,0,0,87,13,11.0,0,0,Roboto-Regular,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,intended use of the model. It was completed in November 2021 by an expert from the,0,0,0,0,0,82,16,11.0,0,0,Roboto-Regular,0.9726315789473684,0,2.2918701171875,17.474365234375
2,90.0,474.1783447265625,539.9301147460938,623.711181640625,London School of Economics; and updated in July 2022.,0,0,0,0,0,53,9,11.0,0,0,Roboto-Regular,0.9726315789473684,0,2.2918701171875,17.474365234375
2,72.0,641.185546875,430.4263000488281,654.076171875,A summary of the main findings and recommendations is provided below.,0,0,0,0,0,69,11,11.0,0,0,Roboto-Regular,0.9726315789473684,0,17.474365234375,17.4967041015625
2,72.0,671.5728759765625,184.54945373535156,685.6353759765625,2.1 Technical Review,0,1,1,0,0,20,3,12.0,0,0,Roboto-Medium,1.0610526315789472,0,17.4967041015625,106.3646240234375
3,72.0,72.26953125,141.15602111816406,86.33203125,Intended Use,0,1,0,0,0,12,2,12.0,0,1,Roboto-MediumItalic,1.0782029950083194,0,72.26953125,2.4776611328125
3,90.0,88.8096923828125,539.39599609375,147.247802734375,●,0,0,0,0,0,1,1,11.0,0,0,ArialMT,0.9883527454242929,0,2.4776611328125,17.496826171875
3,90.0,88.8096923828125,539.39599609375,147.247802734375,The target of the model is P (#damaged houses > threshold t). Several combinations of,0,0,0,0,0,85,15,11.0,0,0,Roboto-Regular,0.9883527454242929,0,2.4776611328125,17.496826171875
3,90.0,88.8096923828125,539.39599609375,147.247802734375,Probability P and threshold t are used as a trigger for early action. Make a clear,0,0,0,0,0,82,16,11.0,0,0,Roboto-Regular,0.9883527454242929,0,2.4776611328125,17.496826171875
3,90.0,88.8096923828125,539.39599609375,147.247802734375,statement under which circumstance which combination is used. This will help with later,0,0,0,0,0,87,13,11.0,0,0,Roboto-Regular,0.9883527454242929,0,2.4776611328125,17.496826171875
3,90.0,88.8096923828125,539.39599609375,147.247802734375,evaluation of the model and transparency of its use.,0,0,0,0,0,52,9,11.0,0,0,Roboto-Regular,0.9883527454242929,0,2.4776611328125,17.496826171875
3,72.0,164.74462890625,177.06028747558594,178.80712890625,Model Development,0,1,0,0,0,17,2,12.0,0,1,Roboto-MediumItalic,1.0782029950083194,0,17.496826171875,2.4775390625
3,90.0,181.28466796875,539.4058227539062,224.54052734375,●,0,0,0,0,0,1,1,11.0,0,0,ArialMT,0.9883527454242929,0,2.4775390625,17.4967041015625
3,90.0,181.28466796875,539.4058227539062,224.54052734375,"As mentioned in the ethical review, more information about the sources of the input data",0,0,0,0,0,88,15,11.0,0,0,Roboto-Regular,0.9883527454242929,0,2.4775390625,17.4967041015625
3,90.0,181.28466796875,539.4058227539062,224.54052734375,is desirable. The model should include information on how often the data sets are,0,0,0,0,0,81,14,11.0,0,0,Roboto-Regular,0.9883527454242929,0,2.4775390625,17.4967041015625
3,90.0,181.28466796875,539.4058227539062,224.54052734375,"updated, and how often the model is retrained to reflect these updates.",0,0,0,0,0,71,12,11.0,0,0,Roboto-Regular,0.9883527454242929,0,2.4775390625,17.4967041015625
3,72.0,242.0372314453125,162.5143280029297,256.0997314453125,Model Evaluation,0,1,0,0,0,16,2,12.0,0,1,Roboto-MediumItalic,1.0782029950083194,0,17.4967041015625,2.4776611328125
3,90.0,258.577392578125,539.9345703125,362.562744140625,●,0,0,0,0,0,1,1,11.0,0,0,ArialMT,0.9883527454242929,0,2.4776611328125,17.496826171875
3,90.0,258.577392578125,539.9345703125,362.562744140625,The model is compared against a damage curve that is currently used to estimate,0,0,0,0,0,79,14,11.0,0,0,Roboto-Regular,0.9883527454242929,0,2.4776611328125,17.496826171875
3,90.0,258.577392578125,539.9345703125,362.562744140625,damage. Adjust this benchmark to whichever model or algorithm is used by the,0,0,0,0,0,76,13,11.0,0,0,Roboto-Regular,0.9883527454242929,0,2.4776611328125,17.496826171875
