pdf,page,x0,y0,x1,y1,text,is_all_caps,is_title_case,is_numbered,has_colon,has_bullet,length,word_count,avg_font_size,most_common_font,is_bold,is_italic,rel_font_size,is_centered,space_before,space_after
technical_manual_3.pdf,1,74.25,35.75000762939453,549.3778686523438,60.5360107421875,Technical Manual: Cybersecurity Implementation Guide,0,1,0,1,0,52,5,18.0,Helvetica-Bold,1,0,1.3269230769230769,0,35.75000762939453,40.53398895263672
technical_manual_3.pdf,1,31.190000534057617,101.06999969482422,166.30999755859375,123.10200500488281,Table of Contents,0,0,0,0,0,17,3,16.0,Helvetica-Bold,1,0,1.1794871794871795,0,40.53398895263672,20.488021850585938
technical_manual_3.pdf,1,31.190000534057617,143.59002685546875,142.3100128173828,165.6220245361328,1. Introduction,0,1,1,0,0,15,2,16.0,Helvetica-Bold,1,0,1.1794871794871795,0,20.488021850585938,19.188018798828125
technical_manual_3.pdf,1,31.190000534057617,184.81004333496094,110.55601501464844,204.08804321289062,1.1 Purpose,0,1,1,0,0,11,2,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,19.188018798828125,9.1319580078125
technical_manual_3.pdf,1,31.190000534057617,213.22000122070312,416.7019348144531,229.70799255371094,Detailed content for 1.1 purpose with relevant information and examples.,0,0,0,0,0,72,10,12.0,Helvetica,0,0,0.8846153846153846,0,9.1319580078125,8.9620361328125
technical_manual_3.pdf,1,31.190000534057617,238.67002868652344,96.55601501464844,257.9480285644531,1.2 Scope,0,1,1,0,0,9,2,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,8.9620361328125,9.13201904296875
technical_manual_3.pdf,1,31.190000534057617,267.0800476074219,405.3619384765625,283.56805419921875,Detailed content for 1.2 scope with relevant information and examples.,0,0,0,0,0,70,10,12.0,Helvetica,0,0,0.8846153846153846,0,9.13201904296875,8.961944580078125
technical_manual_3.pdf,1,31.190000534057617,292.5299987792969,126.88002014160156,311.8080139160156,1.3 Definitions,0,1,1,0,0,15,2,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,8.961944580078125,9.13201904296875
technical_manual_3.pdf,1,31.190000534057617,320.9400329589844,427.36993408203125,337.42803955078125,Detailed content for 1.3 definitions with relevant information and examples.,0,0,0,0,0,76,10,12.0,Helvetica,0,0,0.8846153846153846,0,9.13201904296875,6.8919677734375
technical_manual_3.pdf,1,31.190000534057617,344.32000732421875,166.31199645996094,362.22100830078125,1.3.1 Technical Terms,0,1,1,0,0,21,3,13.0,Helvetica-Bold,1,0,0.9583333333333334,0,6.8919677734375,4.069000244140625
technical_manual_3.pdf,1,31.190000534057617,366.2900085449219,464.0419006347656,382.77801513671875,Detailed content for 1.3.1 technical terms with relevant information and examples.,0,0,0,0,0,82,11,12.0,Helvetica,0,0,0.8846153846153846,0,4.069000244140625,6.902008056640625
technical_manual_3.pdf,1,31.190000534057617,389.6800231933594,150.39999389648438,407.5810241699219,1.3.2 Abbreviations,0,1,1,0,0,19,2,13.0,Helvetica-Bold,1,0,0.9583333333333334,0,6.902008056640625,4.069000244140625
technical_manual_3.pdf,1,31.190000534057617,411.6500244140625,454.7179260253906,428.1380310058594,Detailed content for 1.3.2 abbreviations with relevant information and examples.,0,0,0,0,0,80,10,12.0,Helvetica,0,0,0.8846153846153846,0,4.069000244140625,10.251983642578125
technical_manual_3.pdf,1,31.190000534057617,438.3900146484375,181.49400329589844,460.4219970703125,2. System Overview,0,1,1,0,0,18,3,16.0,Helvetica-Bold,1,0,1.1794871794871795,0,10.251983642578125,19.197998046875
technical_manual_3.pdf,1,31.190000534057617,479.6199951171875,137.0020294189453,498.89801025390625,2.1 Architecture,0,1,1,0,0,16,2,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,19.197998046875,9.132049560546875
technical_manual_3.pdf,1,31.190000534057617,508.0300598144531,436.033935546875,524.51806640625,Detailed content for 2.1 architecture with relevant information and examples.,0,0,0,0,0,77,10,12.0,Helvetica,0,0,0.8846153846153846,0,9.132049560546875,8.96197509765625
technical_manual_3.pdf,1,31.190000534057617,533.4800415039062,140.09600830078125,552.7579956054688,2.2 Components,0,1,1,0,0,14,2,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,8.96197509765625,9.12200927734375
technical_manual_3.pdf,1,31.190000534057617,561.8800048828125,438.7099304199219,578.3680419921875,Detailed content for 2.2 components with relevant information and examples.,0,0,0,0,0,75,10,12.0,Helvetica,0,0,0.8846153846153846,0,9.12200927734375,6.9019775390625
technical_manual_3.pdf,1,31.190000534057617,585.27001953125,176.386962890625,603.1710205078125,2.2.1 Core Components,0,1,1,0,0,21,3,13.0,Helvetica-Bold,1,0,0.9583333333333334,0,6.9019775390625,4.0689697265625
technical_manual_3.pdf,1,31.190000534057617,607.239990234375,475.3939208984375,623.72802734375,Detailed content for 2.2.1 core components with relevant information and examples.,0,0,0,0,0,82,11,12.0,Helvetica,0,0,0.8846153846153846,0,4.0689697265625,6.89202880859375
technical_manual_3.pdf,1,31.190000534057617,630.6200561523438,216.10195922851562,648.5210571289062,2.2.2 Supporting Components,0,1,1,0,0,27,3,13.0,Helvetica-Bold,1,0,0.9583333333333334,0,6.89202880859375,4.06890869140625
technical_manual_3.pdf,1,31.190000534057617,652.5899658203125,508.0819091796875,669.0780029296875,Detailed content for 2.2.2 supporting components with relevant information and examples.,0,0,0,0,0,88,11,12.0,Helvetica,0,0,0.8846153846153846,0,4.06890869140625,10.26202392578125
technical_manual_3.pdf,1,31.190000534057617,679.3400268554688,133.44601440429688,701.3720092773438,3. Installation,0,1,1,0,0,15,2,16.0,Helvetica-Bold,1,0,1.1794871794871795,0,10.26202392578125,140.51800537109375
technical_manual_3.pdf,2,31.190000534057617,28.910015106201172,143.2460174560547,48.18801498413086,3.1 Prerequisites,0,1,1,0,0,17,2,14.0,Helvetica-Bold,1,0,1.0858725761772854,0,28.910015106201172,9.132015228271484
technical_manual_3.pdf,2,31.190000534057617,57.320030212402344,442.0339050292969,73.80802917480469,Detailed content for 3.1 prerequisites with relevant information and examples.,0,0,0,0,0,78,10,12.0,Helvetica,0,0,0.9307479224376731,0,9.132015228271484,8.961967468261719
