pdf,page,x0,y0,x1,y1,text,is_all_caps,is_title_case,is_numbered,has_colon,has_bullet,length,word_count,avg_font_size,most_common_font,is_bold,is_italic,rel_font_size,is_centered,space_before,space_after
research_proposal_11.pdf,1,129.27000427246094,35.75000762939453,494.36383056640625,60.5360107421875,Research Proposal: Climate Change Study,0,1,0,1,0,39,5,18.0,Helvetica-Bold,1,0,1.3269230769230769,0,35.75000762939453,40.53398895263672
research_proposal_11.pdf,1,31.190000534057617,101.06999969482422,122.77400970458984,123.10200500488281,Project Title,0,1,0,0,0,13,2,16.0,Helvetica-Bold,1,0,1.1794871794871795,0,40.53398895263672,20.488021850585938
research_proposal_11.pdf,1,31.190000534057617,143.59002685546875,201.0460205078125,165.6220245361328,1. Executive Summary,0,1,1,0,0,20,3,16.0,Helvetica-Bold,1,0,1.1794871794871795,0,20.488021850585938,20.488021850585938
research_proposal_11.pdf,1,31.190000534057617,186.11004638671875,142.3100128173828,208.1420440673828,2. Introduction,0,1,1,0,0,15,2,16.0,Helvetica-Bold,1,0,1.1794871794871795,0,20.488021850585938,19.187957763671875
research_proposal_11.pdf,1,31.190000534057617,227.3300018310547,173.5700225830078,246.60800170898438,2.1 Research Context,0,1,1,0,0,20,3,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,19.187957763671875,9.13201904296875
research_proposal_11.pdf,1,31.190000534057617,255.74002075195312,462.0498962402344,272.22802734375,Detailed content for 2.1 research context with relevant information and examples.,0,0,0,0,0,81,11,12.0,Helvetica,0,0,0.8846153846153846,0,9.13201904296875,8.962005615234375
research_proposal_11.pdf,1,31.190000534057617,281.1900329589844,182.12400817871094,300.4680480957031,2.2 Problem Statement,0,1,1,0,0,21,3,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,8.962005615234375,9.1319580078125
research_proposal_11.pdf,1,31.190000534057617,309.6000061035156,472.7179260253906,326.0880126953125,Detailed content for 2.2 problem statement with relevant information and examples.,0,0,0,0,0,82,11,12.0,Helvetica,0,0,0.8846153846153846,0,9.1319580078125,8.962005615234375
research_proposal_11.pdf,1,31.190000534057617,335.0500183105469,189.92202758789062,354.3280334472656,2.3 Research Questions,0,1,1,0,0,22,3,14.0,Helvetica-Bold,1,0,1.0320512820512822,0,8.962005615234375,9.131988525390625
research_proposal_11.pdf,1,31.190000534057617,363.46002197265625,474.721923828125,379.9480285644531,Detailed content for 2.3 research questions with relevant information and examples.,0,0,0,0,0,83,11,12.0,Helvetica,0,0,0.8846153846153846,0,9.131988525390625,6.8919677734375
