text,font_size,bold,page,x,y,is_upper,is_title_case,is_numbered,label
"Citation: Zacharioudaki, D.-E.; Fitilis,",6.97,True,1,35.715999603271484,438.9087829589844,False,True,False,body
"I.; Kotti, M. Review of Fluorescence",6.97,False,1,35.715999603271484,450.8997802734375,False,False,False,body
Spectroscopy in Environmental,6.97,False,1,35.715999603271484,462.82476806640625,False,False,False,body
"Quality Applications. Molecules 2022,",6.97,True,1,35.715999603271484,474.62994384765625,False,True,False,body
"27, 4801. https://doi.org/10.3390/",6.97,False,1,35.5419921875,486.554931640625,False,False,True,body
molecules27154801,6.97,False,1,35.71599197387695,498.6007385253906,False,False,False,body
Academic Editors: Victoria,6.97,False,1,35.71599197387695,516.5037231445312,False,True,False,body
"Samanidou, Eleni Deliyanni and",6.97,False,1,35.71599197387695,528.4297485351562,False,False,False,body
Dimitra Voutsa,6.97,False,1,35.71599197387695,540.3546752929688,False,True,False,body
Received: 21 June 2022,6.97,False,1,35.71599197387695,559.2537231445312,False,True,False,body
Accepted: 23 July 2022,6.97,False,1,35.443992614746094,571.1786499023438,False,True,False,body
Published: 27 July 2022,6.97,False,1,35.71599197387695,583.1046752929688,False,True,False,body
Publisher’s Note: MDPI stays neutral,6.97,True,1,35.71599197387695,600.941650390625,False,False,False,body
with regard to jurisdictional claims in,6.97,False,1,35.42299270629883,612.9326782226562,False,False,False,body
published maps and institutional afﬁl-,6.97,False,1,35.50699234008789,624.857666015625,False,False,False,body
iations.,6.97,False,1,35.71599197387695,636.78369140625,False,False,False,body
Copyright:© 2022 by the authors.,6.97,True,1,35.715999603271484,683.5787353515625,False,False,False,body
"Licensee MDPI, Basel, Switzerland.",6.97,False,1,35.715999603271484,695.5707397460938,False,False,False,body
This article is an open access article,6.97,False,1,35.5,707.4957885742188,False,False,False,body
distributedunderthetermsand,6.97,False,1,35.715999603271484,719.4207763671875,False,False,False,body
conditions of the Creative Commons,6.97,False,1,35.715999603271484,731.3468017578125,False,False,False,body
Attribution (CC BY) license (https://,6.97,False,1,35.444000244140625,743.2717895507812,False,False,False,body
creativecommons.org/licenses/by/,6.97,False,1,35.715999603271484,755.19677734375,False,False,False,body
4.0/).,6.97,False,1,35.715999603271484,767.122802734375,False,True,True,body
molecules,25.2,True,1,74.18983459472656,49.30296325683594,False,False,False,body
ReviewReview of Fluorescence Spectroscopy in EnvironmentalQuality Applications,15.28,True,1,35.38800048828125,105.92192077636719,False,False,False,body
"Despoina-Eleni Zacharioudaki, Ioannis Fitilisand Melina Kotti *",9.96,True,1,35.715999603271484,170.27113342285156,False,True,False,body
"Department of Electronic Engineering, Hellenic Mediterranean University, Romanou 3, 73133 Chania, Greece;despoinazax@gmail.com (D.-E.Z.); ﬁtilis@hmu.gr (I.F.)* Correspondence: kotti@hmu.gr; Tel.: +30-28210-23007; Fax: +30-28210-23010",7.97,True,1,165.68399047851562,204.47300720214844,False,False,False,body
Abstract: Fluorescence spectroscopy is an optical spectroscopic method that has been applied for theassessment of environmental quality extensively during the last 20 years. Most of the earlier workshave used conventional light sources in spectroﬂuorometers to assess quality. Many recent workshave used laser sources of light for the same purpose. The improvement of the energy sources and ofthe higher resolution spectrometers has led to a tremendous increase in applications. The motivationfor the present review study is the increasing use of laser sources in environmental applications.The review is divided in two parts. The fundamental principles of ﬂuorescence spectroscopy aredescribed in the ﬁrst part. The environmental applications are described in the second part.,8.97,True,1,166.0439910888672,250.91635131835938,False,False,False,body
Keywords: conventional lamps; fluorescence; laser sources; laser induced fluorescence; environmentalquality,9.0,True,1,166.14199829101562,366.642333984375,False,False,False,body
1. Introduction,9.96,True,1,166.3939971923828,428.98919677734375,False,True,True,body
"Optical spectroscopy deals with the study of interactions between matter and lightsuch as absorption, emission and scattering, among others. Fluorescence spectroscopy (orﬂuorometry) is based on the emission of photons from a substance after excitation fromlight absorption. The molecules, due to their vibrational energy levels, emit light of lowerenergy (longer wavelength) than the absorbed light. This is called Stokes’ shift and happensdue to an energy loss in non-radiative decay. These processes are shown in the so-calledJablonski diagram in Figure 1a. When a molecule is in the ground level (S0) and absorbsa photon of sufﬁcient energy, an electron is promoted to a higher energy singlet level (S1or S2) equal to the energy of the absorbed photon. If the electron, following a relaxationpathway, returns to its original state emitting a photon, it is called photoluminescence. Thetwo types of photoluminescence are ﬂuorescence and phosphorescence. Fluorescence refersto when the electron from a singlet excited level decays radiatively to the ground singletstate, within a characteristic decay time of the order of 10−10 s to 10−7 s. Phosphorescenceoccurs when the electron, after a transition from a singlet excited state to a triplet state,returns radiatively to the ground singlet state. Since the last process involves change of theelectron spin, the phosphorescence time could be from 10−6 s up to seconds.For a compound, its emission spectrum and absorption spectrum (excitation spectrum)are usually almost mirror images as shown in Figure 1b for the radiative transition from S0to S1 and vice versa. This symmetry is attributed to the same vibrational levels structuresthat are involved in each of these processes.",9.39,False,1,166.09500122070312,444.55438232421875,False,False,False,body
"Molecules 2022, 27, 4801. https://doi.org/10.3390/molecules27154801https://www.mdpi.com/journal/molecules",7.97,True,1,35.715999603271484,814.77392578125,False,False,False,body
"Molecules 2022, 27, 48012 of 18",7.97,True,2,35.715999603271484,57.1229248046875,False,False,False,body
