text,font_size,bold,page,x,y,is_upper,is_title_case,is_numbered,label
Peer Review Framework for Predictive Analyticsin Humanitarian Response,18.0,False,1,70.5765151977539,193.73828125,False,False,False,body
MODEL REPORT:Drought Anticipatory ActionTrigger in Niger,27.33,True,1,72.0,281.3923034667969,False,False,False,body
"Anticipatory Action Working Group, Niger",16.0,True,1,72.0,395.20611572265625,False,True,False,body
January 2023,18.0,False,1,72.0,432.51715087890625,False,True,False,body
Model Report:,16.0,True,2,72.0,149.35272216796875,False,True,False,body
Anticipatory Action Trigger for Drought in Niger,16.0,False,2,72.0,173.6195068359375,False,False,False,body
1. BackgroundThis document summarizes the documentation and findings developed in the peer review of theAnticipatory Action Trigger for Drought in Niger. The trigger mechanism was designed for ananticipatory action framework coordinated by OCHA. The goal of the trigger mechanism is todetect increased drought risk in Niger and trigger the release of funds from the CentralEmergency Response Fund in anticipation of drought-related humanitarian needs. The releaseof funds can be triggered from six months ahead of the rainy season (which runs from Julythrough September) until one month into the season. The trigger mechanism includes apredictive model that uses seasonal precipitation forecasts and an observational model thatuses the Standardized Precipitation Index.,11.1,False,2,72.0,228.5208740234375,False,False,True,body
The review was conducted between May 2022 and January 2023.,11.0,False,2,72.0,396.8857421875,False,False,False,body
"2. Main Findings and RecommendationsThe documentation describing the model and its application, as well as the outcomes of thereview process, are available through the following links:",11.33,False,2,72.0,427.273193359375,False,False,True,body
"●The Model Card describes version 1 of the trigger mechanism. It was completed byOCHA in June 2022 and updated in October 2022.●The Model Evaluation Matrix presents the outcomes of the technical review and wascompleted by Mohammad Shamsudduha, Associate Professor in Humanitarian Scienceat the Institute for Risk and Disaster Reduction, University College London, in December2022.●The Implementation Plan summarizes the concrete actions that the trigger mechanismwill inform and was developed by OCHA in October 2022.●The Ethical Matrix identifies issues that may come up in the implementation of thetrigger mechanism and stakeholders that may be impacted by those issues. The EthicalMatrix was completed in January 2023 by Andrea Romaoli Garcia, ITU Topic Driver onOpen Code.",11.0,False,2,90.0,474.1783447265625,False,False,False,body
The sections below provide a summary of the main findings and recommendations developed inthe review.,11.0,False,2,72.0,671.5504150390625,False,False,False,body
2.1 Technical Review,12.0,False,3,72.0,88.8321533203125,False,True,True,body
Intended Use,12.0,False,3,72.0,121.95751953125,False,True,False,body
