text,font_size,bold,page,x,y,is_upper,is_title_case,is_numbered,label
<<<<<<< HEAD
Job Description,12.0,False,1,256.291015625,166.67803955078125,False,True,False,H1
Interests,12.0,False,1,274.62701416015625,248.83303833007812,False,True,False,H1
Tasks,12.0,False,1,281.635009765625,330.988037109375,False,True,False,H1
Knowledge,12.0,False,2,267.95501708984375,219.39102172851562,False,True,False,H1
"Education and Training - Knowledge of principles and methods for curriculum and training design, teaching andinstruction for individuals and groups, and the measurement of training effects.",9.0,True,2,70.86599731445312,446.3470153808594,False,False,False,H1
Education,12.0,False,2,270.95501708984375,508.9270324707031,False,True,False,H1
"Education:Most occupations in this zone require training in vocational schools, related on-the-job experience, oran associate's degree. Some may require a bachelor's degree.",9.0,True,2,70.86599731445312,562.2300415039062,False,False,False,H1
School Programs,12.0,False,2,251.6230010986328,633.2330322265625,False,True,False,H1
Wages,12.0,False,3,278.9649963378906,121.91503143310547,False,True,False,H1
Job Outlook,12.0,False,3,265.6210021972656,197.9150390625,False,True,False,H1
=======
"Broadcast Technicians, page 1 of 3",9.0,False,1,383.333984375,41.754024505615234,False,False,False,body
A CareerZone Occupational Brief for:Broadcast Technicians,14.0,True,1,70.86599731445312,82.31502532958984,False,False,False,body
"An occupation in Engineering and TechnologiesNew York State Department of LaborDavid A. Paterson, Governor",9.0,True,1,70.86599731445312,119.79402923583984,False,False,False,body
Job Description,12.0,False,1,256.291015625,166.67803955078125,False,True,False,H1
"Set up, operate, and maintain the electronic equipment used to transmit radio and television programs. Controlaudio equipment to regulate volume level and quality of sound during radio and television broadcasts. Operateradio transmitter to broadcast radio and television programs.",9.0,False,1,70.86599731445312,198.89402770996094,False,False,False,body
Interests,12.0,False,1,274.62701416015625,248.83303833007812,False,True,False,H1
"Realistic - Realistic occupations frequently involve work activities that include practical, hands-on problems andsolutions. They often deal with plants, animals, and real-world materials like wood, tools, and machinery. Many ofthe occupations require working outside, and do not involve a lot of paperwork or working closely with others.",9.0,True,1,70.86599731445312,281.0490417480469,False,False,False,body
Tasks,12.0,False,1,281.635009765625,330.988037109375,False,True,False,H1
"1. Maintain programming logs, as required by station management and the Federal CommunicationsCommission.",9.0,True,1,70.86599731445312,363.20404052734375,False,False,True,body
2. Control audio equipment to regulate the volume and sound quality during radio and television broadcasts.,9.0,True,1,70.86599731445312,399.6010437011719,False,False,True,body
"3. Monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary tomaintain quality broadcasts.",9.0,True,1,70.86599731445312,423.9980163574219,False,False,True,body
"4. Regulate the fidelity, brightness, and contrast of video transmissions, using video console control panels.",9.0,True,1,70.86599731445312,460.39501953125,False,False,True,body
5. Observe monitors and converse with station personnel to determine audio and video levels and to ascertainthat programs are airing.,9.0,True,1,70.86599731445312,484.7920227050781,False,False,True,body
6. Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,9.0,True,1,70.86599731445312,521.1890258789062,False,False,True,body
"7. Select sources from which programming will be received, or through which programming will be transmitted.",9.0,True,1,70.86599731445312,545.5860595703125,False,False,True,body
"8. Report equipment problems, ensure that repairs are made, and make emergency repairs to equipment whennecessary and possible.",9.0,True,1,70.86599731445312,569.9830322265625,False,False,True,body
"9. Record sound onto tape or film for radio or television, checking its quality and making adjustments wherenecessary.",9.0,True,1,70.86599731445312,606.3800659179688,False,False,True,body
10. Align antennae with receiving dishes to obtain the clearest signal for transmission of broadcasts from fieldlocations.,9.0,True,1,70.86599731445312,642.7770385742188,False,False,True,body
11. Substitute programs in cases where signals fail.,9.0,True,1,70.86599731445312,679.174072265625,False,False,True,body
Skills,12.0,False,1,283.63897705078125,705.113037109375,False,True,False,body
"Operation Monitoring - Watching gauges, dials, or other indicators to make sure a machine is working properly.",9.0,True,1,70.86599731445312,737.3290405273438,False,False,False,body
Reading Comprehension - Understanding written sentences and paragraphs in work related documents.,9.0,True,1,70.86599731445312,761.72607421875,False,False,False,body
Operation and Control - Controlling operations of equipment or systems.,9.0,True,1,70.86599731445312,786.123046875,False,False,False,body
"Broadcast Technicians, page 2 of 3",9.0,False,2,383.333984375,41.754024505615234,False,False,False,body
Troubleshooting - Determining causes of operating errors and deciding what to do about it.,9.0,True,2,70.86599731445312,83.77302551269531,False,False,False,body
